Orthogroup	Orthogroup	Amaranthus_Cruentus	Amaranthus_hypochondriacus	Atriplex_hortensis_longest	Beta_patula.longest	Beta_vulgaris_longest	Cquinoa_QQ74_v2.A	Cquinoa_QQ74_v2.B	Haloxylon_ammodendron	Salicornia_bigelovii.pro.B	Salicornia_bigelovii.pro.D	Salicornia_europaea_France.pro.A	Salicornia_europaea_France.pro.C	Spinacia_oleracea	Spinacia_tetrandra	Spinacia_turkestanica	Suaeda_glauca.A	Suaeda_glauca.B	at	kau3287.l	kau3288.l	kin3565.l	kin4237.l	
OG0000000	OG0000000	22	58	72	19	18	66	77	120	11	15	24	13	20	33	43	89	82	0	18	20	18	22	
OG0000001	OG0000001	20	14	55	25	25	35	27	49	32	35	37	25	47	36	38	54	50	34	44	45	37	41	
OG0000002	OG0000002	6	0	138	2	2	4	2	154	44	48	16	16	11	6	21	110	103	0	19	20	20	33	
OG0000003	OG0000003	12	3	52	2	4	30	39	15	24	28	23	37	129	5	0	77	70	2	32	37	40	15	
OG0000004	OG0000004	0	0	1	1	0	0	0	2	7	11	12	3	169	4	6	198	200	1	14	9	19	5	
OG0000005	OG0000005	2	19	27	2	1	8	40	53	31	49	63	59	12	4	7	8	4	0	43	72	67	76	
OG0000006	OG0000006	0	0	0	0	0	0	0	1	0	0	0	0	632	10	2	0	0	0	0	0	0	0	
OG0000007	OG0000007	4	0	35	4	3	19	6	69	81	77	38	40	41	9	1	43	40	1	33	26	33	34	
OG0000008	OG0000008	0	0	11	1	0	0	1	7	58	60	24	35	32	14	16	64	55	1	43	90	66	47	
OG0000009	OG0000009	23	5	94	8	10	41	48	83	8	11	11	9	37	10	21	63	62	0	7	17	22	19	
OG0000010	OG0000010	0	0	38	0	2	2	0	147	22	18	28	16	59	16	9	71	60	3	37	34	22	22	
OG0000011	OG0000011	4	2	39	0	2	10	17	13	58	73	50	80	29	4	3	18	16	1	22	42	64	57	
OG0000012	OG0000012	0	2	76	3	3	18	59	25	19	15	35	9	45	74	35	46	54	0	19	24	22	3	
OG0000013	OG0000013	0	0	0	1	3	0	2	1	21	17	21	12	171	23	2	119	125	1	7	29	14	10	
OG0000014	OG0000014	0	0	37	8	10	26	37	71	13	16	6	3	88	82	38	44	40	1	13	14	15	9	
OG0000015	OG0000015	0	0	87	4	11	39	76	49	12	10	7	5	38	33	74	33	35	0	18	9	13	9	
OG0000016	OG0000016	10	0	14	12	10	8	4	101	20	28	23	22	34	53	25	33	34	0	19	33	21	22	
OG0000017	OG0000017	0	0	74	1	7	15	10	57	1	2	2	2	36	1	44	113	108	1	10	12	12	7	
OG0000018	OG0000018	14	0	65	1	3	6	4	20	28	30	8	13	110	31	20	29	32	3	17	23	30	27	
OG0000019	OG0000019	3	0	1	2	2	2	0	4	33	35	46	59	101	2	2	58	53	0	23	30	31	19	
OG0000020	OG0000020	4	0	16	3	1	15	10	0	36	30	43	19	54	62	34	28	27	2	17	41	16	37	
OG0000021	OG0000021	3	1	85	3	6	12	8	117	12	4	49	38	18	1	4	32	28	0	16	18	15	23	
OG0000022	OG0000022	1	2	91	2	6	30	39	1	48	49	18	41	52	13	29	0	0	0	20	12	15	21	
OG0000023	OG0000023	0	0	75	5	4	6	10	24	16	10	30	4	20	21	5	91	83	0	24	24	28	8	
OG0000024	OG0000024	0	0	92	3	4	12	13	79	16	20	27	9	30	1	2	42	47	0	17	31	24	14	
OG0000025	OG0000025	12	12	3	13	51	42	39	10	47	11	8	6	15	38	8	38	35	27	9	19	14	21	
OG0000026	OG0000026	3	4	17	0	0	1	4	4	43	59	10	19	57	22	68	51	49	0	11	24	15	15	
OG0000027	OG0000027	18	0	91	0	0	9	11	50	30	33	17	29	45	4	1	39	41	0	18	20	7	9	
OG0000028	OG0000028	6	0	10	3	0	0	0	2	37	69	12	5	144	6	7	28	27	17	13	30	25	24	
OG0000029	OG0000029	0	0	2	0	1	1	1	36	32	29	38	45	26	1	0	41	37	2	17	58	55	35	
OG0000030	OG0000030	3	6	24	10	11	16	20	27	16	14	20	22	22	25	29	34	38	34	18	18	20	25	
OG0000031	OG0000031	0	0	1	0	2	0	1	4	45	57	26	39	18	2	8	4	6	1	38	57	64	65	
OG0000032	OG0000032	0	0	0	0	0	0	0	0	0	0	1	0	419	0	0	1	0	0	0	0	1	0	
OG0000033	OG0000033	9	3	43	1	2	13	10	11	48	43	16	13	64	12	12	38	35	0	13	8	13	8	
OG0000034	OG0000034	2	0	11	2	5	4	8	33	24	33	47	42	8	10	2	25	23	0	19	42	36	38	
OG0000035	OG0000035	0	0	34	0	0	2	1	9	46	52	14	10	11	6	7	73	69	0	4	30	25	18	
OG0000036	OG0000036	5	0	30	1	0	2	4	29	27	19	19	15	7	12	0	53	50	0	19	36	43	39	
OG0000037	OG0000037	1	14	49	2	7	8	13	2	19	14	18	18	27	19	22	44	41	14	22	19	19	17	
OG0000038	OG0000038	1	0	96	3	2	12	7	67	7	4	7	5	48	2	39	34	37	0	5	11	7	14	
OG0000039	OG0000039	4	0	122	0	0	4	5	11	20	11	16	5	17	35	65	15	15	1	4	26	27	3	
OG0000040	OG0000040	0	0	6	6	8	2	5	51	13	6	34	6	24	0	1	37	40	0	18	84	28	23	
OG0000041	OG0000041	5	0	24	0	2	2	6	17	35	31	8	23	49	11	4	12	15	0	21	51	37	31	
OG0000042	OG0000042	5	0	1	1	2	0	0	0	40	31	11	21	85	6	3	6	5	0	51	31	43	40	
OG0000043	OG0000043	2	1	13	1	1	2	45	41	39	33	22	10	35	2	3	6	3	0	26	35	40	16	
OG0000044	OG0000044	0	1	10	2	2	1	4	36	19	20	12	8	29	0	0	46	43	0	22	41	38	39	
OG0000045	OG0000045	2	3	47	9	7	23	31	52	9	4	10	7	24	39	21	19	18	0	11	10	9	11	
OG0000046	OG0000046	12	23	16	16	16	15	14	14	15	16	16	15	16	16	18	16	17	31	16	16	15	15	
OG0000047	OG0000047	4	15	21	18	17	24	24	32	6	9	13	11	14	16	15	33	29	5	11	13	12	13	
OG0000048	OG0000048	9	0	27	0	1	6	21	6	13	7	21	12	43	35	66	17	19	9	1	18	9	14	
OG0000049	OG0000049	3	0	26	3	1	9	13	2	43	41	15	15	22	13	12	34	27	3	14	13	10	30	
OG0000050	OG0000050	4	0	35	0	3	2	1	7	66	55	9	13	17	8	21	19	21	2	13	28	12	13	
OG0000051	OG0000051	11	16	17	19	18	20	19	20	13	14	14	13	13	13	13	15	18	17	13	13	13	13	
OG0000052	OG0000052	0	0	33	1	3	9	40	17	3	7	22	15	30	6	41	21	20	0	14	24	12	17	
OG0000053	OG0000053	3	0	0	2	5	1	0	4	14	5	48	7	38	0	0	81	77	0	8	6	26	2	
OG0000054	OG0000054	16	16	24	17	13	15	14	12	13	6	13	9	11	21	13	14	23	8	17	16	16	16	
OG0000055	OG0000055	1	2	16	0	0	0	39	5	10	19	19	25	15	1	6	23	13	0	38	23	21	47	
OG0000056	OG0000056	2	0	6	0	2	3	6	2	20	15	40	12	1	8	0	49	47	0	7	29	42	27	
OG0000057	OG0000057	1	37	51	3	6	65	33	9	12	11	0	0	7	5	5	21	18	0	14	16	2	1	
OG0000058	OG0000058	14	1	55	0	1	0	5	53	9	18	3	3	24	27	23	16	16	0	9	15	12	12	
OG0000059	OG0000059	0	0	81	0	0	1	1	6	4	2	9	5	43	10	9	63	62	0	2	4	6	4	
OG0000060	OG0000060	4	4	12	6	7	7	8	20	10	15	23	25	6	6	5	24	24	9	22	25	21	22	
OG0000061	OG0000061	1	1	14	19	19	18	16	16	7	12	8	6	14	20	7	35	35	16	11	10	11	9	
OG0000062	OG0000062	0	0	4	0	0	2	2	106	21	15	9	10	2	2	1	33	37	0	18	10	18	15	
OG0000063	OG0000063	10	0	60	0	5	28	17	0	10	15	12	7	49	2	3	23	24	1	5	11	14	6	
OG0000064	OG0000064	13	13	16	11	13	7	11	4	8	17	14	19	6	15	11	18	28	16	15	15	14	15	
OG0000065	OG0000065	0	1	87	0	0	7	5	10	7	16	6	1	30	5	3	35	48	0	8	7	7	11	
OG0000066	OG0000066	1	1	51	5	5	42	73	2	1	0	0	0	37	54	20	0	0	0	0	0	0	0	
OG0000067	OG0000067	0	0	7	0	0	1	1	5	27	29	47	29	4	1	2	4	6	0	20	31	40	38	
OG0000068	OG0000068	0	0	46	0	3	7	27	7	6	4	8	8	21	49	25	16	17	3	5	17	16	3	
OG0000069	OG0000069	13	0	0	0	1	0	0	1	12	30	34	36	25	37	20	4	3	1	4	26	20	18	
OG0000070	OG0000070	2	0	10	4	9	24	21	5	19	20	6	4	34	7	33	27	22	0	3	7	26	2	
OG0000071	OG0000071	8	6	12	12	14	13	17	21	5	8	7	10	25	18	19	15	17	16	9	10	10	10	
OG0000072	OG0000072	0	0	14	0	1	1	3	2	25	30	20	20	21	6	0	30	25	0	7	22	26	28	
OG0000073	OG0000073	0	0	41	5	7	6	15	27	0	2	0	1	83	30	60	1	1	0	0	0	0	1	
OG0000074	OG0000074	1	0	6	5	13	11	43	34	10	4	7	4	45	37	6	18	24	0	4	1	3	3	
OG0000075	OG0000075	1	0	1	0	0	0	0	18	4	9	4	3	18	0	2	88	90	0	5	17	8	9	
OG0000076	OG0000076	14	13	18	11	16	13	10	21	8	8	11	12	10	19	13	13	15	9	11	11	9	12	
OG0000077	OG0000077	8	2	29	2	13	21	26	6	21	25	11	14	6	2	2	18	20	0	19	11	11	7	
OG0000078	OG0000078	4	2	9	2	2	3	4	21	4	3	7	5	38	46	24	25	27	5	12	15	12	4	
OG0000079	OG0000079	8	0	0	0	0	1	1	10	33	36	5	5	77	0	0	15	15	2	17	24	9	14	
OG0000080	OG0000080	0	0	2	2	4	1	0	0	23	20	25	17	18	20	25	14	12	0	12	29	16	32	
OG0000081	OG0000081	2	3	13	1	4	4	1	14	6	7	14	17	21	13	4	40	38	0	8	25	10	24	
